,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
San Fernando,-0.022,0.711,2663.0,97.841,"(130, 140]",43.447,"(40, 50]",41.081,1.496,0.064,1.054
Sylmar,-0.008,0.698,10262.0,26.34,"(130, 140]",26.778,"(40, 50]",22.452,0.748,0.071,1.282
Beverlywood,0.151,0.66,1222.0,18.499,"(100, 110]",21.44,"(10, 20]",17.84,0.79,0.032,1.655
West Los Angeles,-0.137,0.708,1836.0,86.305,"(140, 150]",47.222,"(50, 60]",31.046,1.363,0.135,1.167
Cheviot Hills,0.074,0.705,2447.0,3.399,"(140, 150]",11.157,"(50, 60]",10.053,0.371,-0.079,1.413
Elysian Park,0.028,0.726,1886.0,1.74,"(140, 150]",8.643,"(40, 50]",7.953,0.298,-0.012,1.349
Chinatown,0.257,0.656,1484.0,8.792,"(20, 30]",18.396,"(110, 120]",10.647,0.508,-0.505,1.744
Echo Park,0.178,0.702,4140.0,22.857,"(20, 30]",24.372,"(110, 120]",21.908,0.7,-0.148,1.333
Santa Monica,-0.088,0.687,11755.0,50.762,"(130, 140]",35.049,"(40, 50]",24.534,1.248,0.161,1.148
Winnetka,0.152,0.547,5826.0,36.312,"(80, 90]",33.419,"(90, 100]",16.152,0.96,-0.008,2.537
Sherman Oaks,0.134,0.651,12419.0,8.963,"(0, 10]",15.13,"(80, 90]",14.244,0.565,-0.054,1.776
Redondo Beach,0.065,0.62,7764.0,17.47,"(80, 90]",24.807,"(90, 100]",12.687,0.653,-0.069,2.02
Torrance,0.103,0.616,19338.0,12.478,"(80, 90]",18.389,"(90, 100]",14.872,0.606,0.044,1.936
Walnut,0.029,0.675,9172.0,1.464,"(60, 70]",8.493,"(70, 80]",8.297,0.247,-0.126,1.554
Hacienda Heights,0.106,0.683,9853.0,5.89,"(110, 120]",15.285,"(20, 30]",11.215,0.426,-0.01,1.498
Whittier,0.135,0.661,12714.0,6.0,"(120, 130]",11.719,"(30, 40]",11.499,0.496,-0.114,1.576
South Whittier,0.146,0.66,5492.0,6.255,"(0, 10]",11.908,"(120, 130]",11.854,0.514,-0.166,1.57
Griffith Park,-0.082,0.659,2566.0,2.164,"(90, 100]",9.626,"(160, 170]",9.47,0.294,0.253,1.761
Valley Glen,0.195,0.567,4507.0,53.009,"(80, 90]",32.549,"(0, 10]",24.273,1.281,0.028,2.402
Culver City,0.022,0.708,8900.0,5.518,"(140, 150]",13.506,"(120, 130]",11.449,0.437,0.018,1.374
Hollywood Hills,0.055,0.7,14566.0,0.308,"(0, 10]",7.14,"(160, 170]",7.03,0.107,-0.054,1.503
Hollywood,0.134,0.542,3434.0,63.272,"(80, 90]",42.021,"(90, 100]",19.715,1.288,0.091,2.754
Commerce,0.074,0.67,5333.0,14.832,"(110, 120]",19.051,"(20, 30]",17.251,0.693,0.132,1.48
Silver Lake,0.193,0.711,6096.0,4.499,"(20, 30]",14.928,"(110, 120]",9.662,0.347,-0.302,1.491
East Hollywood,0.176,0.544,2820.0,59.454,"(80, 90]",37.482,"(0, 10]",23.759,1.316,0.212,2.401
Los Feliz,0.068,0.668,4897.0,3.905,"(80, 90]",14.009,"(0, 10]",10.149,0.342,-0.089,1.701
Studio City,0.029,0.635,9687.0,3.897,"(80, 90]",12.14,"(90, 100]",11.655,0.357,0.111,1.799
Koreatown,0.293,0.498,2848.0,67.95,"(80, 90]",43.539,"(0, 10]",22.296,1.316,0.138,2.421
Westlake,0.202,0.661,5025.0,55.628,"(20, 30]",34.488,"(110, 120]",31.861,1.114,-0.042,1.279
Pico-Union,0.263,0.571,2638.0,30.185,"(80, 90]",23.199,"(20, 30]",19.03,1.097,-0.014,1.629
Hawthorne,0.224,0.54,5737.0,56.916,"(80, 90]",39.498,"(0, 10]",22.503,1.228,0.012,2.481
Playa Vista,-0.101,0.681,1871.0,28.556,"(60, 70]",24.96,"(150, 160]",22.769,0.936,-0.101,1.277
Mar Vista,-0.113,0.689,4630.0,63.544,"(140, 150]",37.365,"(50, 60]",32.916,1.194,0.07,1.176
Del Rey,0.035,0.696,2946.0,18.789,"(30, 40]",18.635,"(140, 150]",16.361,0.857,-0.071,1.235
Vernon,0.135,0.505,2591.0,44.532,"(80, 90]",36.82,"(90, 100]",16.789,1.089,0.308,2.62
Maywood,0.256,0.593,1434.0,95.123,"(90, 100]",48.815,"(0, 10]",33.054,1.44,0.127,1.707
Huntington Park,0.161,0.596,2708.0,64.35,"(90, 100]",39.328,"(0, 10]",26.44,1.344,0.089,2.254
