,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Los Feliz,2783,5688,4.088,174921.968,30.753,2.153,2745,89810.208,2958,30.362,1.0,0.0
Studio City,5623,10881,3.87,331539.279,30.47,2.107,5460,179090.099,5834,30.698,1.0,0.0
Koreatown,2044,4487,4.39,184147.359,41.04,2.286,2035,92929.528,2290,40.581,1.0,0.0
Westlake,2660,5403,4.062,197354.012,36.527,2.25,2637,104734.62,2945,35.564,1.0,0.0
Pico-Union,1799,3375,3.752,124678.155,36.942,2.22,1779,70385.194,1948,36.132,1.0,0.0
Hawthorne,4154,7612,3.665,355835.45,46.747,2.245,4073,207208.022,4558,45.46,1.0,0.0
Playa Vista,1183,1890,3.195,66446.059,35.157,2.201,1159,45160.42,1275,35.42,1.0,0.0
Mar Vista,2217,4675,4.217,194223.488,41.545,2.235,2161,101153.082,2437,41.507,1.0,0.0
Del Rey,1590,3023,3.803,139019.588,45.987,2.203,1540,75735.928,1705,44.42,1.0,0.0
Vernon,1818,3395,3.735,152731.339,44.987,2.15,1796,82195.323,1904,43.17,1.0,0.0
Maywood,702,1496,4.262,86839.784,58.048,2.462,700,46481.532,842,55.204,1.0,0.0
Huntington Park,1894,3831,4.045,183046.001,47.78,2.273,1871,98097.175,2091,46.914,1.0,0.0
West Hollywood,1661,3106,3.74,124081.993,39.949,2.298,1644,67343.802,1837,36.66,1.0,0.0
Pomona,13182,25070,3.804,1140556.971,45.495,2.191,12568,650342.713,14330,45.383,1.0,0.0
Hollywood Hills West,6994,13848,3.96,243511.085,17.585,2.027,6744,123350.165,7030,17.546,1.0,0.0
Panorama City,2470,5028,4.071,210045.487,41.775,2.189,2402,108426.95,2681,40.443,1.0,0.0
Arleta,1371,2920,4.26,195960.705,67.11,2.28,1283,102931.052,1541,66.795,1.0,0.0
Wilmington,3913,7838,4.006,377052.158,48.106,2.246,3831,204013.772,4341,46.997,1.0,0.0
La Habra Heights,4044,8043,3.978,174381.846,21.681,2.02,3939,88751.021,4063,21.844,1.0,0.0
Rowland Heights,4790,9379,3.916,379469.131,40.459,2.101,4413,202493.568,4996,40.531,1.0,0.0
San Pedro,7156,13377,3.739,562659.971,42.062,2.185,6942,311059.829,7777,39.997,1.0,0.0
Lincoln Heights,1900,3530,3.716,129810.605,36.774,2.168,1855,73828.732,2019,36.567,1.0,0.0
East Los Angeles,6376,12179,3.82,526635.042,43.241,2.252,6292,303543.585,7064,42.97,1.0,0.0
